Subject_group_Ger,Subject_group_EN,Subject_area_Ger,Subject_area_EN,Subject_Ger,Subject_EN,Subject_code
Geisteswissenschaften,Humanities,Geisteswissenschaften allgemein,Humanities (general),Interdisz.Studien (Schwerpunkt Geisteswissenschaften),Interdisciplinary Studies (specialising in Humanities),4
Geisteswissenschaften,Humanities,Geisteswissenschaften allgemein,Humanities (general),Lernbereich Geisteswissenschaften,Area of study: Humanities,90
Geisteswissenschaften,Humanities,"Evang. Theologie, -Religionslehre","Protestant Theology, Protes. Religious Education",Diakoniewissenschaft,Pastoral Care Studies,161
Geisteswissenschaften,Humanities,"Evang. Theologie, -Religionslehre","Protestant Theology, Protes. Religious Education","Ev. Religionspädagogik, kirchliche Bildungsarbeit","Protestant Religious Pedagogy, Church Educat. Work",544
Geisteswissenschaften,Humanities,"Evang. Theologie, -Religionslehre","Protestant Theology, Protes. Religious Education","Evangelische Theologie, - Religionslehre","Protestant Theology, Protes. Religious Education",53
Geisteswissenschaften,Humanities,"Kath. Theologie, -Religionslehre","Catholic Theology, Catholic Religious Education",Caritaswissenschaft,Caritas Science,162
Geisteswissenschaften,Humanities,"Kath. Theologie, -Religionslehre","Catholic Theology, Catholic Religious Education","Kath. Religionspäd., kirchliche Bildungsarbeit","Catholic Religious Pedagogy, Church Educat. Work",545
Geisteswissenschaften,Humanities,"Kath. Theologie, -Religionslehre","Catholic Theology, Catholic Religious Education","Katholische Theologie, - Religionslehre","Catholic Theology, Catholic Religious Education",86
Geisteswissenschaften,Humanities,Philosophie,Philosophy,Ethik,Ethics,169
Geisteswissenschaften,Humanities,Philosophie,Philosophy,Philosophie,Philosophy,127
Geisteswissenschaften,Humanities,Philosophie,Philosophy,Religionswissenschaft,Religious Studies,136
Geisteswissenschaften,Humanities,Geschichte,History,Alte Geschichte,Ancient History,272
Geisteswissenschaften,Humanities,Geschichte,History,Archäologie,Archaeology,12
Geisteswissenschaften,Humanities,Geschichte,History,Geschichte,History,68
Geisteswissenschaften,Humanities,Geschichte,History,Mittlere und neuere Geschichte,Medieval and Modern History,273
Geisteswissenschaften,Humanities,Geschichte,History,Ur- und Frühgeschichte,Prehistory and Early History,548
Geisteswissenschaften,Humanities,Geschichte,History,Wirtschafts-/Sozialgeschichte,Economic/Social History,183
Geisteswissenschaften,Humanities,Geschichte,History,Wissenschaftsgeschichte/Technik-geschichte,History of Science/History of Technology,275
Geisteswissenschaften,Humanities,Informations- und Bibliothekswissenschaften,Information and Library Sciences,Informations- und Bibliothekswissenschaften,Information and Library Sciences,22
Geisteswissenschaften,Humanities,Informations- und Bibliothekswissenschaften,Information and Library Sciences,Archiv- und Dokumentationswissenschaft,Archival and Documentation Science,37
Geisteswissenschaften,Humanities,Allgemeine und vergleichende Literatur- und Sprachwissenschaft,General and Comparative Literary Studies and Linguistics,Allgemeine Literaturwissenschaft,General Literary Studies,188
Geisteswissenschaften,Humanities,Allgemeine und vergleichende Literatur- und Sprachwissenschaft,General and Comparative Literary Studies and Linguistics,Allgemeine Sprachwissenschaft/Indogermanistik,General Linguistics/Indo-European Studies,152
Geisteswissenschaften,Humanities,Allgemeine und vergleichende Literatur- und Sprachwissenschaft,General and Comparative Literary Studies and Linguistics,Angewandte Sprachwissenschaft,Applied Linguistics,284
Geisteswissenschaften,Humanities,Allgemeine und vergleichende Literatur- und Sprachwissenschaft,General and Comparative Literary Studies and Linguistics,Berufsbezogene Fremdsprachenausbildung,Occupation-specific Foreign Language Training,18
Geisteswissenschaften,Humanities,Allgemeine und vergleichende Literatur- und Sprachwissenschaft,General and Comparative Literary Studies and Linguistics,Computerlinguistik,Computer Linguistics,160
Geisteswissenschaften,Humanities,"Altphilologie (klass. Philologie), Neugriechisch","Classical Philology, Modern Greek",Byzantinistik,Byzantine Studies,31
Geisteswissenschaften,Humanities,"Altphilologie (klass. Philologie), Neugriechisch","Classical Philology, Modern Greek",Griechisch,Greek,70
Geisteswissenschaften,Humanities,"Altphilologie (klass. Philologie), Neugriechisch","Classical Philology, Modern Greek",Klassische Philologie,Classical Philology,5
Geisteswissenschaften,Humanities,"Altphilologie (klass. Philologie), Neugriechisch","Classical Philology, Modern Greek",Latein,Latin,95
Geisteswissenschaften,Humanities,"Altphilologie (klass. Philologie), Neugriechisch","Classical Philology, Modern Greek",Neugriechisch,Modern Greek,43
Geisteswissenschaften,Humanities,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik)","German Studies (German, Germanic Languages excl. English)",Dänisch,Danish,34
Geisteswissenschaften,Humanities,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik)","German Studies (German, Germanic Languages excl. English)",Deutsch als Fremdsprache oder als Zweitsprache,German as a Foreign or Second Language,271
Geisteswissenschaften,Humanities,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik)","German Studies (German, Germanic Languages excl. English)",Germanistik/Deutsch,German Studies/German,67
Geisteswissenschaften,Humanities,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik)","German Studies (German, Germanic Languages excl. English)",Niederdeutsch,Low German,189
Geisteswissenschaften,Humanities,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik)","German Studies (German, Germanic Languages excl. English)",Niederländisch,Dutch,119
Geisteswissenschaften,Humanities,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik)","German Studies (German, Germanic Languages excl. English)","Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g)","Nordic/Scand. St. (Nord. Phil., ind. lang. n.e.c.)",120
Geisteswissenschaften,Humanities,"Anglistik, Amerikanistik","English Studies, American Studies",Amerikanistik/Amerikakunde,American Studies,6
Geisteswissenschaften,Humanities,"Anglistik, Amerikanistik","English Studies, American Studies",Anglistik/Englisch,English Studies,8
Geisteswissenschaften,Humanities,Romanistik,Romance Studies,Französisch,French,59
Geisteswissenschaften,Humanities,Romanistik,Romance Studies,Italienisch,Italian,84
Geisteswissenschaften,Humanities,Romanistik,Romance Studies,Portugiesisch,Portuguese,131
Geisteswissenschaften,Humanities,Romanistik,Romance Studies,"Romanistik (Roman.Philologie,Einzelsprach. a.n.g.)","Romance Studies (Rom. Phil., indiv. lang. n.e.c.)",137
Geisteswissenschaften,Humanities,Romanistik,Romance Studies,Spanisch,Spanish,150
Geisteswissenschaften,Humanities,"Slawistik, Baltistik, Finno-Ugristik","Slavic, Baltic, Finno-Ugrian Studies",Baltistik,Baltic Studies,16
Geisteswissenschaften,Humanities,"Slawistik, Baltistik, Finno-Ugristik","Slavic, Baltic, Finno-Ugrian Studies",Finno-Ugristik,Finno-Ugrian Studies,56
Geisteswissenschaften,Humanities,"Slawistik, Baltistik, Finno-Ugristik","Slavic, Baltic, Finno-Ugrian Studies",Polnisch,Polish,206
Geisteswissenschaften,Humanities,"Slawistik, Baltistik, Finno-Ugristik","Slavic, Baltic, Finno-Ugrian Studies",Russisch,Russian,139
Geisteswissenschaften,Humanities,"Slawistik, Baltistik, Finno-Ugristik","Slavic, Baltic, Finno-Ugrian Studies",Slawistik (Slawische Philologie),Slavic Studies (Slavic Philology),146
Geisteswissenschaften,Humanities,"Slawistik, Baltistik, Finno-Ugristik","Slavic, Baltic, Finno-Ugrian Studies",Sorabistik,Sorbian Studies,207
Geisteswissenschaften,Humanities,"Slawistik, Baltistik, Finno-Ugristik","Slavic, Baltic, Finno-Ugrian Studies","Südslawisch(Bulgarisch,Serbokroatisch,Slowen.usw.)","South Slavic (Bulgar., Serbo-Croat., Slovene etc.)",153
Geisteswissenschaften,Humanities,"Slawistik, Baltistik, Finno-Ugristik","Slavic, Baltic, Finno-Ugrian Studies",Tschechisch,Czech,209
