German,English
Geisteswissenschaften allgemein,Humanities (general)
Interdisz.Studien (Schwerpunkt Geisteswissenschaften),Interdisciplinary Studies (specialising in Humanities)
Lernbereich Geisteswissenschaften,Area of study: Humanities
"Evang. Theologie, -Religionslehre","Protestant Theology, Protes. Religious Education"
Diakoniewissenschaft,Pastoral Care Studies
"Ev. Religionspädagogik, kirchliche Bildungsarbeit","Protestant Religious Pedagogy, Church Educat. Work"
"Evangelische Theologie, - Religionslehre","Protestant Theology, Protes. Religious Education"
"Kath. Theologie, -Religionslehre","Catholic Theology, Catholic Religious Education"
Caritaswissenschaft,Caritas Science
"Kath. Religionspäd., kirchliche Bildungsarbeit","Catholic Religious Pedagogy, Church Educat. Work"
"Katholische Theologie, - Religionslehre","Catholic Theology, Catholic Religious Education"
Philosophie,Philosophy
Ethik,Ethics
Philosophie,Philosophy
Religionswissenschaft,Religious Studies
Geschichte,History
Alte Geschichte,Ancient History
Archäologie,Archaeology
Geschichte,History
Mittlere und neuere Geschichte,Medieval and Modern History
Ur- und Frühgeschichte,Prehistory and Early History
Wirtschafts-/Sozialgeschichte,Economic/Social History
Wissenschaftsgeschichte/Technik-geschichte,History of Science/History of Technology
Informations- und Bibliothekswissenschaften,Information and Library Sciences
Informations- und Bibliothekswissenschaften,Information and Library Sciences
Archiv- und Dokumentationswissenschaft,Archival and Documentation Science
Allgemeine und vergleichende Literatur- und Sprachwissenschaft,General and Comparative Literary Studies and Linguistics
Allgemeine Literaturwissenschaft,General Literary Studies
Allgemeine Sprachwissenschaft/Indogermanistik,General Linguistics/Indo-European Studies
Angewandte Sprachwissenschaft,Applied Linguistics
Berufsbezogene Fremdsprachenausbildung,Occupation-specific Foreign Language Training
Computerlinguistik,Computer Linguistics
"Altphilologie (klass. Philologie), Neugriechisch","Classical Philology, Modern Greek"
Byzantinistik,Byzantine Studies
Griechisch,Greek
Klassische Philologie,Classical Philology
Latein,Latin
Neugriechisch,Modern Greek
"Germanistik (Deutsch, germanische Sprachen ohne Anglistik)","German Studies (German, Germanic Languages excl. English)"
Dänisch,Danish
Deutsch als Fremdsprache oder als Zweitsprache,German as a Foreign or Second Language
Germanistik/Deutsch,German Studies/German
Niederdeutsch,Low German
Niederländisch,Dutch
"Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g)","Nordic/Scand. St. (Nord. Phil., ind. lang. n.e.c.)"
"Anglistik, Amerikanistik","English Studies, American Studies"
Amerikanistik/Amerikakunde,American Studies
Anglistik/Englisch,English Studies
Romanistik,Romance Studies
Französisch,French
Italienisch,Italian
Portugiesisch,Portuguese
"Romanistik (Roman.Philologie,Einzelsprach. a.n.g.)","Romance Studies (Rom. Phil., indiv. lang. n.e.c.)"
Spanisch,Spanish
"Slawistik, Baltistik, Finno-Ugristik","Slavic, Baltic, Finno-Ugrian Studies"
Baltistik,Baltic Studies
Finno-Ugristik,Finno-Ugrian Studies
Polnisch,Polish
Russisch,Russian
Slawistik (Slawische Philologie),Slavic Studies (Slavic Philology)
Sorabistik,Sorbian Studies
"Südslawisch(Bulgarisch,Serbokroatisch,Slowen.usw.)","South Slavic (Bulgar., Serbo-Croat., Slovene etc.)"
Tschechisch,Czech
Westslawisch (allgemein und a.n.g.),Western Slavic (general and n.e.c.)
Sonstige Sprach- und Kulturwissenschaften,Other linguistic and cultural studies
Ägyptologie,Egyptology
Afrikanistik,African Studies
Arabisch/Arabistik,Arabic/Arabic Studies
Außereurop. Sprachen und Kult. in Ozeanien und Am.,Non-Europ. Lang. and Cult. in Oceania and America
Judaistik/Hebräisch,Judaic Studies/Hebrew
Indologie,Indology
Iranistik,Iranian Studies
Islamwissenschaft,Islamic Studies
Japanologie,Japanese Studies
Kaukasistik,Caucasian Studies
"Orientalistik, Altorientalistik","Oriental Studies, Ancient Oriental Studies"
Sinologie/Koreanistik,Sinology/Korean Studies
Turkologie,Turkish Studies
Asiatische Sprachen u.Kulturen/Asienwissenschaften,Asian Languages and Cultures/Asian Studies
Kulturwissenschaften i.e.S.,Cultural Studies in the narrower sense
Europäische Ethnologie und Kulturwissenschaft,European Ethnology and Cultural Studies
Ethnologie,Ethnology
Volkskunde,Folklore
Islamische Studien/Islamische Theologie,Islamic Studies/Islamic Theology
Islamische Studien/Islamische Theologie,Islamic Studies/Islamic Theology
Medienwissenschaft,Media Science
Medienwissenschaft,Media Science
Sport,Sports
"Sport, Sportwissenschaft","Sports, Sports Science"
Sportpädagogik/Sportpsychologie,Sports Education/Sports Psychology
Sportwissenschaft,Sports Science
"Rechts-, Wirtschafts- und Sozialwissenschaften","Law, Economics and Social Sciences"
